sample_id,smiles,logBB,bbb_class,has_logbb,outer_fold,outer_stratum,ATSC0c,TopoPSA(NO),nO,ATSC1c,nHBAcc,DPSA4,TopoPSA,SMR_VSA1,PEOE_VSA1,SlogP_VSA2,PNSA3,DPSA3,TPSA
16,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-1.68,1,True,4,labeled_class_1_logbb_bin_0,0.607724067287318,37.3,2.0,-0.3850669493274291,1.0,21.544127880841444,37.3,14.291479626587348,5.106527394840706,11.075832682792557,-37.78788386052484,56.66920572270136,127.1280391067621
17,C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O,-1.67,1,True,3,labeled_class_1_logbb_bin_0,1.1616282465567076,128.33,4.0,-0.5730528712378474,7.0,38.464164605538045,136.71,18.318861563241462,5.106527394840706,68.16970617932029,-52.52243592651831,83.77762299847818,169.16949940117388
18,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,-1.57,1,True,4,labeled_class_1_logbb_bin_0,0.852859658433399,106.39,1.0,-0.7441415069805526,4.0,31.01377521200656,134.63,4.794537184071822,16.784123558330702,16.85071281904255,-36.975958690896114,63.39336611191743,99.45338929349326
19,O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(C(F)(F)F)cc1,-1.57,1,True,3,labeled_class_1_logbb_bin_0,1.4169182944030922,75.11,2.0,-0.9359901224513938,4.0,43.612385472286675,75.11,36.24355486496145,10.423315998847038,21.043789724686967,-70.49839158411932,92.5023506252865,115.73733653416556
20,C/N=C(/NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,-1.54,1,True,2,labeled_class_1_logbb_bin_0,1.00673339443163,137.5,0.0,-0.9232436584706224,5.0,37.57360127802109,165.74,0.0,16.784123558330702,23.950759641112068,-40.40721148601274,73.74503642994497,75.4075956125962
21,NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1,-1.54,1,True,2,labeled_class_1_logbb_bin_0,1.3087833769356365,117.75,2.0,-0.975587003136494,5.0,37.128643778529835,145.99,10.213054789681411,21.68038974400578,21.156587879372452,-57.49509994461437,88.25652500131685,147.47110768417542
22,CC(C)CC(=O)c1ccc(OCCCCO)cc1O,-1.52,1,True,3,labeled_class_1_logbb_bin_0,1.0000431096652949,66.76,4.0,-0.4405665724545355,4.0,25.22210254446964,66.76,19.744454927553285,14.94991774348146,29.21006366507219,-42.76619043054728,64.32016279406845,125.75015746368445
23,CC(C)CC(=O)c1ccc(OCCCCOc2ccc(CCC(=O)O)c(O)c2)cc1O,-1.52,1,True,3,labeled_class_1_logbb_bin_0,1.9244607825265527,113.29000000000002,7.0,-0.993896654730108,6.0,42.366474602675616,113.29000000000002,34.38238246026586,24.793308092122217,40.28589634786474,-78.54309053467227,114.12798934505037,223.4519829924384
24,CC(C)CC(=O)c1ccc(OCCCCOc2ccc3ccc(=O)oc3c2)cc1O,-1.52,1,True,0,labeled_class_1_logbb_bin_0,1.4668234748794535,85.97,6.0,-0.7116141293035005,6.0,36.52797018547516,85.97,23.791941423565973,18.997404239494152,24.10353627023148,-53.00156908404138,81.48904841522464,155.48600744607864
25,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,-1.52,1,True,1,labeled_class_1_logbb_bin_0,1.1376979495027906,110.43,3.0,-0.684788097040401,6.0,35.91635378322253,118.81,13.212334168400758,20.100586586654497,68.1723946994996,-35.84313193598719,66.44408526178604,144.27433902740452
26,NC[C@H](CC(=O)O)c1ccc(Cl)cc1,-1.52,1,True,4,labeled_class_1_logbb_bin_0,0.6600048755434035,63.32000000000001,2.0,-0.4323437210206137,2.0,21.61796749513249,63.32000000000001,9.901064578912528,10.84019487200289,17.62058908870513,-39.57605247355952,58.680856064195595,112.99418607879764
27,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-1.5,1,True,3,labeled_class_1_logbb_bin_0,0.9290780583147372,86.28,1.0,-0.5196724042072297,7.0,34.03130293939705,86.28,4.794537184071822,15.533486938863138,63.88563236022157,-29.91717769599695,63.70209394614712,105.00193724909096
28,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=N[C@H]2O,-1.48,1,True,4,labeled_class_1_logbb_bin_0,0.5324437644793701,63.3,1.0,-0.312197245391856,4.0,23.53773670986042,63.3,5.106527394840706,5.106527394840706,25.58267566200484,-32.6058590579017,49.7751919389984,59.16897555588228
29,CCc1cccc2c3c([nH]c12)[C@](CC)(CC(=O)O)OCC3,-1.42,1,True,0,labeled_class_1_logbb_bin_0,0.844819736182798,62.32,3.0,-0.4872165672282429,2.0,21.440235271740644,62.32,14.637927532712578,14.827368869587962,22.66669316825268,-24.750175485039975,44.467290200933846,86.32762098818819
30,CC(C)N[C@@H](O)COc1ccc(CC(N)=O)cc1,-1.42,1,True,0,labeled_class_1_logbb_bin_0,0.9444557949807374,84.58000000000001,3.0,-0.5430698658264089,4.0,27.706924572324606,84.58000000000001,14.637927532712576,15.57705782580294,29.89033108858796,-37.28566448961739,60.86714988587333,121.45580802499028
31,C/N=C(\NC#N)NCCSCC1=NC=N[C@H]1C,-1.42,1,True,4,labeled_class_1_logbb_bin_0,0.6410701789325908,84.93,0.0,-0.4516092591310242,5.0,25.127763163688385,110.23,0.0,5.316788604006331,49.14975136526772,-30.191481989896836,51.64736245616592,76.23714323143847
32,C/N=C(\NC#N)NCCSCc1nc[nH]c1C,-1.4,1,True,3,labeled_class_1_logbb_bin_0,0.707356103715491,88.88999999999999,0.0,-0.5071996075151247,4.0,25.128925575399336,114.18999999999998,0.0,10.300767124953538,35.272793605974805,-24.85565904223216,46.020088277828066,36.84282504263164
33,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,-1.4,1,True,1,labeled_class_1_logbb_bin_0,1.0839781791451577,112.90000000000002,4.0,-0.5481646930452255,7.0,32.76370084575581,121.28000000000002,13.154659938128988,14.620751205597736,76.53562344436251,-36.03046877156285,60.9093512759288,141.93458308055577
34,CCCn1c(=O)c2[nH]c([C@H]3CCC(=O)C3)nc2n(CCC)c1=O,-1.4,1,True,4,labeled_class_1_logbb_bin_0,0.8622200135264229,89.75,3.0,-0.6460753850773002,4.0,26.206013343842436,89.75,4.794537184071822,4.983978520947208,24.885401283842064,-33.82472652182118,52.004844991784026,125.09237384205646
35,COC(=O)Nc1nc2ccc(C(=O)N3CCN(c4ccccn4)CC3)cc2[nH]1,-1.4,1,True,3,labeled_class_1_logbb_bin_0,1.298893548490218,103.44999999999996,3.0,-0.9887273186702222,6.0,38.55167718170848,103.44999999999996,14.325937321943693,19.520660936448213,65.14108825890985,-39.38527821224103,74.41710571413563,153.9872263540733
36,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,-1.4,1,True,0,labeled_class_1_logbb_bin_0,0.9394937101223518,73.06,2.0,-0.558933850845309,5.0,28.62486507939986,73.06,14.233805396315574,14.41048999643211,37.83932653449951,-43.685577237250925,71.11577460540187,168.02635102233324
37,NCc1c[n+]2ccccc2[nH]1,-1.4,1,True,0,labeled_class_1_logbb_bin_0,0.4652287534739119,45.91,0.0,-0.3078438851362098,1.0,26.46097457077493,45.91,4.400694606261793,5.733667477162185,4.983978520947208,-9.557302918695113,38.981844577995275,54.040230170340635
38,Nc1ccc(C(=O)O)cc1,-1.4,1,True,0,labeled_class_1_logbb_bin_0,0.7249483422140428,63.31999999999999,2.0,-0.516567864988487,2.0,22.949357626745908,63.31999999999999,9.901064578912528,10.84019487200289,11.075832682792557,-34.38825213162577,55.36236615138176,120.69821123582994
39,Cc1ccccc1N=C1N(C)CCN1C,-1.39,1,True,1,labeled_class_1_logbb_bin_0,0.3863074704448552,18.84,0.0,-0.2263077513710781,1.0,15.288806014771998,18.84,0.0,9.799819461700954,42.944230807624315,-5.449586964403546,21.369374863414393,10.849931477905775
40,Cc1ccccc1NC1=NCCN1,-1.39,1,True,4,labeled_class_1_logbb_bin_0,0.4389585977254754,36.42,0.0,-0.3327932401893285,3.0,17.464033162505892,36.42,0.0,10.633577208012662,19.049067380568985,-11.551220126899093,29.345717988463647,28.965545721353248
41,CN1[C@@H]2CC[C@H]1[C@@H](CC(=O)O)[C@@H](OC(=O)c1ccccc1)C2,-1.35,1,True,3,labeled_class_1_logbb_bin_0,1.031603255076068,66.84,4.0,-0.6183230549261042,4.0,24.718453683505416,66.84,19.432464716784395,9.843390348640757,47.18036773031629,-36.38497392372237,57.09708894990062,126.0974214459964
42,CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,-1.34,1,True,3,labeled_class_1_logbb_bin_0,0.9766463036921198,97.28000000000002,3.0,-0.5037330783228191,6.0,32.452771821409954,97.28000000000002,14.424159515885876,14.529532062664533,42.65300878453109,-39.72408196485294,60.306387652927015,119.43662530559106
43,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,-1.33,1,True,1,labeled_class_1_logbb_bin_0,0.8256292556109599,70.16,3.0,-0.51619299517988,2.0,29.97228135096744,70.16,9.901064578912528,10.090505915787912,16.059811203739763,-47.07698718884701,65.10733545294897,141.1900130847829
44,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,-1.3,1,True,2,labeled_class_1_logbb_bin_0,0.9219827331831236,72.72,3.0,-0.4848354582341636,4.0,23.131240163979125,72.72,15.319582184522115,20.63637078852845,27.403263842818035,-40.865975684651225,61.389586538191935,126.13626706708332
45,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,-1.3,1,True,2,labeled_class_1_logbb_bin_0,1.109370827209175,113.42000000000004,4.0,-0.4927260284849142,7.0,34.58775440254044,121.80000000000004,13.154659938128988,14.620751205597736,77.2049440626567,-34.414946697118346,61.25146183371369,127.0505676285814
46,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,-1.3,1,True,2,labeled_class_1_logbb_bin_0,0.9749974285760996,74.16,2.0,-0.5233202610762783,6.0,32.36009383005032,99.46,4.417150937053347,19.61782779285736,41.26082075075863,-33.385571668928854,63.25898673342222,79.2587004969908
47,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1,-1.3,1,True,0,labeled_class_1_logbb_bin_0,0.9059691480245848,70.67,3.0,-0.429457172477706,6.0,27.992217074787103,107.29,13.154659938128988,14.953561288656855,41.70662014925678,-32.413168610207656,56.242037906658254,90.13676889482792
48,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-1.3,1,True,2,labeled_class_1_logbb_bin_0,1.0424614752524977,68.53,4.0,-0.6081331199866671,3.0,30.19227720063224,68.53,19.432464716784395,9.843390348640757,28.65990960121295,-51.57321063970376,75.49063372319682,145.0710093137386
49,COc1cccnc1CCCCNc1ncc(Cc2cccc(C)n2)c(=O)[nH]1,-1.3,1,True,3,labeled_class_1_logbb_bin_0,0.9916423627955052,92.79,2.0,-0.5711457858922464,6.0,31.88756292174363,92.79,4.736862953800049,10.05365155780638,33.59046803097894,-27.936934083671417,60.29198124198815,100.41085356814033
50,Cc1ccc(N=C2N(C)CCN2C)c(C)c1,-1.3,1,True,3,labeled_class_1_logbb_bin_0,0.3844710506498187,18.84,0.0,-0.2252135276744795,1.0,15.257525001895893,18.84,0.0,9.799819461700954,42.944230807624315,-4.930302317968673,20.57548136878972,10.335594009289013
51,Cc1ccc(NC2=NCCN2)c(C)c1,-1.3,1,True,0,labeled_class_1_logbb_bin_0,0.4371176978712648,36.42,0.0,-0.3317299543935795,3.0,17.387185055766437,36.42,0.0,10.633577208012662,19.049067380568985,-11.632489167684026,28.82426007060402,26.91185858010516
52,Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,-1.3,1,True,1,labeled_class_1_logbb_bin_0,1.1732815269468055,106.51,2.0,-0.7228577754234206,9.0,41.85050002518947,134.75,9.901064578912528,20.64001433370385,70.1962164119601,-45.84867763988598,79.18387458361244,133.6299687414833
53,N#C[C@@H](c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,-1.3,1,True,1,labeled_class_1_logbb_bin_0,0.6404583237761874,91.54,2.0,-0.4269438608029601,4.0,30.754802146075065,91.54,0.0,0.0,14.764463264393427,-53.31685236383578,73.7392274673349,111.40259353941266
54,NCC1(Cc2noc(=O)[nH]2)CCCCC1,-1.3,1,True,1,labeled_class_1_logbb_bin_0,0.6247074688303271,84.91,2.0,-0.5043672963191482,4.0,17.38379329040194,84.91,4.523094936973348,5.733667477162185,16.685398183985228,-30.602652939165363,45.28744157029698,117.20947701879687
55,NCCc1nc(-c2ccccc2)cs1,-1.3,1,True,4,labeled_class_1_logbb_bin_0,0.2758467880394151,38.91,0.0,-0.1337553820215042,3.0,15.686112087326013,67.14999999999999,0.0,5.733667477162185,11.528734926859784,-19.32274839550517,35.63765148435892,29.62871552738128
56,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,-1.3,1,True,4,labeled_class_1_logbb_bin_0,1.3597677631734697,127.39,2.0,-0.9816084331826928,8.0,41.01125795437023,127.39,9.523678331894054,20.574134413062566,36.21729906551156,-51.44973205602052,91.20823799086271,139.92262848247
57,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-1.3,1,True,0,labeled_class_1_logbb_bin_0,0.7152389654953183,49.33,2.0,-0.4566105715325457,2.0,25.19784721251784,49.33,9.901064578912528,10.423315998847038,11.075832682792557,-36.402484190499194,55.35783565561731,85.27888410575554
58,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-1.3,1,True,2,labeled_class_1_logbb_bin_0,0.5439347779910617,63.3,1.0,-0.258620135683899,4.0,24.06745223964081,63.3,5.106527394840706,5.106527394840706,25.58267566200484,-30.886038147021896,50.87207691472744,54.85999239178372
59,COc1ccc2c(c1)[C@@H](CC(=O)O)[C@H](C)N2C(=O)c1ccc(Cl)cc1,-1.26,1,True,2,labeled_class_1_logbb_bin_0,1.0553143740124578,66.84,4.0,-0.6202345362108188,3.0,29.55953065728485,66.84,19.432464716784395,14.743300079491233,30.134650782569555,-48.25323803915553,72.06905366876278,144.56666176561083
60,O=C(O)c1ccc(-c2ccccc2)cc1,-1.26,1,True,3,labeled_class_1_logbb_bin_0,0.5564342838251546,37.3,2.0,-0.3774108910461466,1.0,20.0773692626386,37.3,9.901064578912528,5.106527394840706,11.075832682792557,-31.041850473658652,51.08277029073734,101.14640144078548
61,CN/C(=C/[N+](=O)[O-])NCCSc1ccc(CN(C)C)o1,-1.23,1,True,3,labeled_class_1_logbb_bin_0,0.973735278991839,83.58,3.0,-0.3237097938239304,7.0,30.504524653302305,108.88,9.340461985871018,19.950637875916485,43.263846740359085,-33.31175190851032,56.18457702853216,118.48641053868631
62,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,1,True,2,labeled_class_1_logbb_bin_0,0.992674935921786,83.58,3.0,-0.289983980329614,7.0,29.93851982912085,108.88,9.340461985871018,19.950637875916488,43.26384674035908,-36.863948581395576,58.07302388225611,116.81602670805673
63,CN/C(=N\C[N+](=O)[O-])NCCSCc1coc(CN(C)C)c1,-1.23,1,True,4,labeled_class_1_logbb_bin_0,1.0566217812315493,95.94,3.0,-0.3760353116565016,6.0,32.3400323603197,121.24,9.340461985871018,19.950637875916488,55.89209249800206,-43.59103720395979,70.47366221237601,126.4234440338485
64,C/N=C(\C[N+](=O)[O-])NCCCSc1ccc(CN(C)C)o1,-1.23,1,True,1,labeled_class_1_logbb_bin_0,0.8893103548361967,83.91,3.0,-0.2249921184774029,6.0,27.8108968432803,109.21,9.340461985871018,14.633849271910154,55.64422293202893,-29.14964838695179,51.39006804484201,102.84761245660472
65,C/N=C(\C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,1,True,3,labeled_class_1_logbb_bin_0,0.9061290024775496,83.91,3.0,-0.1906350921647057,6.0,27.43900180714909,109.21,9.340461985871018,14.633849271910154,55.64422293202893,-37.06803601308398,58.08943133140387,117.3403073911684
66,CN/C(C[N+](=O)[O-])=N/CCSc1ccc(CN(C)C)o1,-1.23,1,True,2,labeled_class_1_logbb_bin_0,0.8886193128264284,83.91,3.0,-0.2228433394465738,6.0,27.793468987454993,109.21,9.340461985871018,14.633849271910154,55.64422293202893,-28.516930454057036,50.15655416380615,93.55991708006536
67,CO[C@H]1CN(C[C@@H]2Cc3ccc(NC(=O)C(C)C)cc3C2)CC[C@@H]1n1c(C)nc2cc(C)ccc21,-1.22,1,True,1,labeled_class_1_logbb_bin_0,0.789901395813303,59.39000000000001,2.0,-0.3696046647891043,4.0,27.254663582741827,59.39000000000001,9.53140013787187,19.520660936448213,53.206200775704104,-23.400869884650632,48.3780212244744,65.9422267014879
68,CN(C)CCc1c[nH]c2ccc(O)cc12,-1.19,1,True,2,labeled_class_1_logbb_bin_0,0.6504072169454881,39.26,1.0,-0.2897027068270135,2.0,17.79555999519951,39.26,5.106527394840706,14.99041564663839,35.63051601790534,-24.728817823807,45.869751312347006,69.17159147151844
69,CC(=O)Oc1ccc(/C=C/C(=O)NCCc2ccccc2)cc1OC(C)=O,-1.17,1,True,2,labeled_class_1_logbb_bin_0,1.10160685373029,81.69999999999999,5.0,-0.7246167259169709,5.0,34.823919275213655,81.69999999999999,23.85733745981556,14.790514511606428,24.390546711167776,-41.12273072202054,66.97720086943475,138.05502146308095
70,CN(C)c1cc(-c2n[nH]c(N)n2)ccn1,-1.17,1,True,3,labeled_class_1_logbb_bin_0,0.6599857466826691,83.72,0.0,-0.4502333333133363,5.0,24.116012042733846,83.72,0.0,10.633577208012662,34.26066462385087,-19.843520232050036,45.71146376138084,52.722193163282626
71,NC(N)=Nc1nc(-c2cccc(N)c2)cs1,-1.15,1,True,0,labeled_class_1_logbb_bin_0,0.7969486952936061,103.31,0.0,-0.6842693363411473,4.0,28.98431423971187,131.54999999999998,0.0,17.201002431486554,10.943533089691044,-33.89703287067646,61.75295554503196,70.96090228319997
72,CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2,-1.15,1,True,0,labeled_class_1_logbb_bin_0,0.7814302295482339,71.85000000000001,4.0,-0.3762141174744265,5.0,25.190441065351827,80.23,17.949197122200808,9.636772684650529,72.73992966627682,-34.11815788115384,56.15122163738735,121.60664650775723
73,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,-1.14,1,True,3,labeled_class_1_logbb_bin_0,0.7355401317605338,53.43,2.0,-0.4282171489033454,3.0,24.596759142165908,53.43,9.901064578912528,5.106527394840706,40.59399015232796,-35.594146221403726,62.53262496061402,116.28977798184766
74,CN(C)Cc1ccc(CSCCN[C@H]2N=CC=C2[N+](=O)[O-])o1,-1.12,1,True,1,labeled_class_1_logbb_bin_0,0.8410630990539858,83.91,3.0,-0.1890278669141401,7.0,29.269852724036294,109.21,9.340461985871018,9.317060667903824,48.59655094935173,-42.05943297620544,63.15829241313021,131.86724027759377
75,CN(C)Cc1ccc(CSCCNc2[nH]ccc2[N+](=O)[O-])o1,-1.12,1,True,1,labeled_class_1_logbb_bin_0,0.9852795856841372,87.34,3.0,-0.3093134366267702,6.0,31.22640885117817,112.64,9.340461985871018,19.61782779285736,41.200153278629095,-39.66693848448689,63.69913186138007,121.34289751343732
76,CN(C)Cc1ccc(SCCNc2[nH]ccc2[N+](=O)[O-])o1,-1.12,1,True,1,labeled_class_1_logbb_bin_0,0.9663399993313242,87.34,3.0,-0.3430383811356683,6.0,27.618211242949073,112.64,9.340461985871018,19.61782779285736,41.2001532786291,-26.925931161092464,47.4743374199941,88.53226386883046
77,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-1.11,1,True,0,labeled_class_1_logbb_bin_0,0.9449999862422024,101.73,4.0,-0.4993528260077317,5.0,27.47004514587217,110.11,17.949197122200808,10.05365155780638,52.01079403269413,-32.78233013616951,55.47849092920309,141.4103510700063
78,O=C(O)c1ccccc1O,-1.1,1,True,2,labeled_class_1_logbb_bin_0,0.8872741462685276,57.53,3.0,-0.5650436772474003,2.0,25.608426950963057,57.53,15.007591973753234,10.213054789681411,16.182360077633263,-42.96653289852623,60.58333417061769,134.47800824666098
79,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-1.1,1,True,4,labeled_class_1_logbb_bin_0,1.12075084872697,74.57000000000001,3.0,-0.5091494154902517,4.0,29.71823356510558,74.57000000000001,14.291479626587348,19.89032537748887,41.82195795423421,-44.20314083808521,70.78803395802566,183.15642176314864
80,CC(C)C[C@@H]1C(=O)N2CCC[C@@H]2[C@@]2(O)O[C@@](NC(=O)[C@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@@H]4N(C)C3)(C(C)C)C(=O)N12,-1.1,1,True,4,labeled_class_1_logbb_bin_0,1.4796800034419912,118.21,5.0,-1.0234161062891844,6.0,38.49391242412592,118.21,24.227001900856216,20.30720425064472,92.41051310786752,-35.04057004181955,59.98461211100523,93.87802644341733
81,CN1C[C@@H](C(=O)N[C@@]2(C)O[C@]3(O)[C@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C[C@@H]2C3=CC=C[C@H]4NC=CC(=C34)C[C@H]21,-1.1,1,True,1,labeled_class_1_logbb_bin_0,1.524968911311529,114.45,5.0,-0.9791627890447032,7.0,37.60225365307281,114.45,24.22700190085622,25.53992406455432,93.46837541606824,-33.56124428056079,64.7285484747812,110.8487632029596
